Time_s,FUN_N,ECU_N,ECRL_N,ECRB_N
0.0,0.0,27.16382761183033,26.592049570908227,17.670923881636757
0.01,0.0,30.748288473268087,28.669379758230576,23.97339556564209
0.02,0.0,31.62780720626464,26.43870192161861,19.17869823955767
0.03,0.0,31.610587727626204,25.16216697262602,16.529178877470173
0.04,0.0,29.068475284557945,28.93116804209075,18.202772218080046
0.05,0.0,30.95580560789717,26.32901764394389,18.32475277763363
0.06,0.0,32.057017949082415,28.656778294200635,18.71338891671021
0.07,0.0,30.258289651822054,27.988608420751817,17.75421247764387
0.08,0.0,30.36822271833095,28.63380249899229,18.558402395905386
0.09,0.0,28.136067261670735,28.270202715219384,13.376987757471262
0.1,0.0,31.404518709554413,23.135656930995147,17.667038812937633
0.11,0.0,31.210280909350967,26.586819507696998,23.317079714872957
0.12,0.0,33.10783736779064,31.84883679009921,19.17119419241341
0.13,0.0,33.552133837063174,26.246327354857566,16.379453371490364
0.14,0.0,30.287314351140278,25.38923483493842,20.432055965169678
0.15,0.0,28.54271913987116,28.170435799268827,22.3067326109222
0.16,0.0,31.301025153145932,30.233614028931385,19.082295560906772
0.17,0.0,25.698732072064224,23.36997236837523,18.750529884658864
0.18,0.0,32.45244192517913,32.02290078611283,16.55905449277335
0.19,0.0,34.35461324496017,26.681957120949228,20.563527067968757
0.2,0.0,28.91915417419781,21.83612503967826,20.233548683838574
0.21,0.0,27.545578256779276,30.302480815695848,17.098304859470915
0.22,0.0,31.107882358253246,24.97172853385564,20.575229183492745
0.23,0.0,26.121922907728475,28.44413224433177,18.926413672982566
0.24,0.0,29.886939829514493,23.167168398170364,21.60205133259247
0.25,0.0,29.483126344113174,28.82144167210498,20.217609541767047
0.26,0.0,33.606575160148424,24.184103778500884,19.37606600256047
0.27,0.0,34.053577664502406,24.31200075141615,20.595181672429007
0.28,0.0,29.909018993015415,29.182589402262565,18.743572748176145
0.29,0.0,29.361011501987274,25.708327423168686,15.032917892946386
0.3,0.0,33.19532261545402,27.838357257287974,18.459640560098084
0.31,0.0,33.24822111208081,26.203541978592355,19.741223867272353
0.32,0.0,28.832963564783977,22.20809198602535,18.771988160566828
0.33,0.0,29.718824931444836,26.241981704529415,17.93581825279625
